date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT,transformer_id,hour,dayofweek,month,day_of_year,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,is_weekend,is_worktime,season
2018-07-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6,7,182,0.0,1.0,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6,7,182,0.0,1.0,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 00:30:00,-1.0,-3.0000035584908855,-1.0,-2.9444435246200173,0.016400106311461434,-1.9836096969933812,-12.88711887172599,1,0,6,7,182,0.0,1.0,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 00:45:00,-0.7071067811865557,-1.2247452345780612,-0.7071067811865462,-0.011499764714417684,0.013390030505408258,-1.0652637507348321,-15.302848126625005,1,0,6,7,182,0.0,1.0,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 01:00:00,-2.886767781913625,1.507556332734359,-0.577350269189626,-0.009958923754868563,-4.253951283727683,0.8277069977324539,-1.1851915470247862,1,1,6,7,182,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 01:15:00,-6.324541816837188,-1.1180341876753181,-1.3177562804916756,-1.567683572803808,-2.493897823359657,-1.9022218978976668,-0.9841867374187028,1,1,6,7,182,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 01:30:00,-3.3362323669868,-2.0426498136763636,-3.47113398629004,-2.6846799055981645,-4.983313525417795,0.11802241729331364,-0.8826847502511318,1,1,6,7,182,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 01:45:00,-3.178726602351644,-2.4494908726966957,-1.9481102028056434,-2.8350617645010936,-3.307506116195607,-1.4981034800584134,-1.1728111729698765,1,1,6,7,182,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 02:00:00,-1.9765658790725944,-2.501850608477765,-2.4233043203135574,-1.0497141207426095,-2.206237054229028,-2.7567675123494704,-0.5222436391222439,1,2,6,7,182,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 02:15:00,-1.556133255841943,-1.1844466550616826,-1.0161143477030858,0.7378962540850009,-1.6757080786284757,-2.497000292348783,-0.6902265875963398,1,2,6,7,182,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 02:30:00,-1.3245859081826092,-1.052273996527147,-1.2943257867729323,-0.1643854167403266,-1.4046851783755436,-0.8781094710065732,-0.3758471148236418,1,2,6,7,182,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 02:45:00,-1.1728647598673752,0.28127220518565804,-0.7817225093095999,0.7297679213823958,-1.083033656021157,-0.32018457708028025,-1.0173736458844134,1,2,6,7,182,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 03:00:00,-1.3044421769681913,0.2684142815523947,-1.4905130899685786,-0.22214623979762774,-0.9896840646602115,-0.3052522541198998,-2.480654982459946,1,3,6,7,182,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 03:15:00,-0.7071070607675338,0.9258206096383848,0.5103467855605057,3.604918871743623,-0.9169418119373136,-0.8198741270547772,-2.295438970761761,1,3,6,7,182,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 03:30:00,-0.42918910462932985,-1.154700937863909,0.4872707993609831,0.3516338644482126,-1.0097024705204716,-1.3244367533431862,-2.472057615090164,1,3,6,7,182,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 03:45:00,-0.16484605085005774,0.26726142589440016,0.8478264153841504,1.0840021205354426,-0.7921605134328414,0.3958027259890348,-3.073188927149209,1,3,6,7,182,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
2018-07-01 04:00:00,-0.1594761336223898,0.2581990667006636,0.8030635175735841,1.0130400663080992,-0.43977671097812093,-0.17498225964100003,-2.180001119539396,1,4,6,7,182,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-0.4999999999999998,-0.8660254037844388,0.008606996888688698,-0.9999629591162655,1,0,3
